"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI","se_(Intercept)","se_RFIClass2MidRFI","se_RFIClass3HighRFI","W_(Intercept)","W_RFIClass2MidRFI","W_RFIClass3HighRFI","p_(Intercept)","p_RFIClass2MidRFI","p_RFIClass3HighRFI","q_(Intercept)","q_RFIClass2MidRFI","q_RFIClass3HighRFI","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","passed_ss_(Intercept)","passed_ss_RFIClass2MidRFI","passed_ss_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"Absconditicoccaceae",-0.105625934441136,0.0415511908879118,0.236742567456437,0.259548931319092,0.293223499645295,0.322839719751989,-0.406959619923376,0.141704846092401,0.733313012532368,0.685925132657563,0.887931948078423,0.467088455499759,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Acetobacteraceae",-0.217031088247656,0.264078135592177,0.308169021193892,0.301845637876423,0.360595674143083,0.40677564430265,-0.719013499000802,0.732338612269076,0.75758965786213,0.47751795516985,0.469463068308207,0.454417265464172,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Acidaminococcaceae",-0.166198164193087,0.208914108352648,0.150280280191588,0.184226963683257,0.217203838255525,0.235828074550072,-0.902138106552267,0.961834330509736,0.637245079824791,0.371683160453745,0.341161811637213,0.527124295850537,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Acutalibacteraceae",0.0863531235324243,-0.0575985758264672,-0.190074926676727,0.186851451800937,0.214462898538603,0.242576610325673,0.462148528684812,-0.268571283046887,-0.783566587155869,0.646153285349969,0.789460462805406,0.437310501861381,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Anaerolineaceae",0.102951481323852,-0.145563119359224,-0.100426027254169,0.249112590551589,0.302565834356999,0.320591702600668,0.413272894380388,-0.481095691681677,-0.313252109893999,0.681560283654235,0.633006127404531,0.755677189124319,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Anaeroplasmataceae",0.0806670719984793,-0.146365037649672,-0.0284158933913139,0.253220636403784,0.301396769450599,0.323370397772586,0.318564367991904,-0.485622450155897,-0.0878741331520942,0.751498832667066,0.629540027609107,0.930358156896769,0.968682111838657,0.988329030448414,0.980601870514015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Anaerovoracaceae",0.00656811158819527,0.033983002000524,-0.0945533915663849,0.144920441699132,0.18007722306695,0.199955910801404,0.0453221885828312,0.188713494254016,-0.472871200393247,0.964046685391438,0.85114750473812,0.638541202119321,0.97800010349945,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Aristaeellaceae",-0.174428836488856,0.224880086590543,0.149541999460803,0.213229352004141,0.236350539075398,0.26593978393416,-0.818033890969518,0.951468473354333,0.562315262683022,0.417555221639808,0.346339419109551,0.57663138063571,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Atopobiaceae",-0.53155294319478,0.343119555529228,1.12791311388131,0.43357137520919,0.497913653907883,0.535626349652896,-1.22598716979025,0.689114574055661,2.10578347128038,0.245802414421971,0.505027211018668,0.0590063569311707,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Bacillaceae_H_294103",0.0825814885925112,-0.0207439840493946,-0.201076565816786,0.19920034091375,0.250629044913235,0.285656948157646,0.414564996293191,-0.0827676778506497,-0.703909241884841,0.68079145439922,0.934470730981631,0.485780631804327,0.968682111838657,0.990041962583325,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
