Family,Sample_134,Sample_135,Sample_136,Sample_137,Sample_138,Sample_139,Sample_140,Sample_141,Sample_142,Sample_143,Sample_144,Sample_147,Sample_148,Sample_149,Sample_150,Sample_151,Sample_152,Sample_153,Sample_154,Sample_155,Sample_158,Sample_159,Sample_160,Sample_161,Sample_162,Sample_163,Sample_164,Sample_165,Sample_166,Sample_167,Sample_168,Sample_169,Sample_170,Sample_171,Sample_172,Sample_173,Sample_174,Sample_175,Sample_176,Sample_177,Sample_178,Sample_179,Sample_180,Sample_181,Sample_182,Sample_183,Sample_184,Sample_185,Sample_186
Absconditicoccaceae,352,130,253,199,242,91,74,138,194,294,58,108,180,53,408,104,134,219,267,217,475,157,169,64,190,339,98,163,168,323,336,83,227,193,258,330,255,190,64,74,67,111,117,185,62,37,61,148,269
Acetobacteraceae,11,5,4,12,0,10,16,35,8,16,8,0,4,0,8,0,5,5,0,6,0,6,0,4,7,23,0,4,24,0,0,0,4,16,6,0,0,21,18,5,7,0,18,11,18,16,4,4,0
Acholeplasmataceae,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcaceae,1618,1817,1423,870,1052,1366,1150,1148,1209,1895,1354,1538,957,1240,1064,1435,848,706,1112,961,1109,2348,1674,2454,2216,2164,1758,1144,1521,2174,915,1480,1578,3019,1395,916,1313,1655,2204,1665,1904,1977,1918,839,1353,1385,1281,1057,2286
Acutalibacteraceae,2005,1450,969,1875,1343,1582,1950,1186,1994,708,1286,824,1894,1273,679,1227,1214,986,1453,1449,1360,1616,1493,1497,2008,1645,1566,1231,1394,980,1378,810,1734,1447,1116,746,1012,1977,1642,775,1160,788,1354,1904,1472,2446,1434,1018,1825
Aminobacteriaceae,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoebophilaceae,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofustaceae,3,0,0,2,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Anaerolineaceae,37,28,0,32,28,34,32,36,42,4,35,32,16,39,29,36,14,33,0,33,49,54,0,33,38,67,64,81,28,42,19,41,41,32,10,30,0,34,39,43,49,0,34,63,48,23,39,19,104
Anaeroplasmataceae,81,79,112,80,94,171,74,67,94,94,202,167,40,21,114,116,16,101,166,98,64,232,110,33,91,141,71,205,33,187,60,101,233,167,35,340,53,132,81,108,140,139,256,344,108,55,97,43,135
Anaerotignaceae,0,5,0,0,0,0,0,0,0,6,0,0,5,0,0,7,0,0,0,0,0,12,0,0,7,7,0,0,4,0,3,0,7,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
Anaerovoracaceae,262,155,144,82,122,147,117,72,209,94,130,129,125,96,110,146,74,74,80,105,122,137,138,175,175,190,201,123,113,245,74,97,83,143,111,127,63,135,135,102,84,149,105,170,129,117,137,82,167
Aristaeellaceae,887,661,645,601,561,886,710,713,900,817,722,562,710,397,406,637,558,424,454,414,532,785,650,858,869,1264,1033,548,539,767,449,441,568,512,592,248,538,534,903,600,729,491,681,273,634,687,700,364,805
Atopobiaceae,0,4,8,41,19,59,43,17,0,19,47,23,20,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Bacillaceae_C_302571,0,0,0,0,0,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae_C_302575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae_D_361233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae_H_294103,26,15,14,16,13,16,11,9,14,0,20,9,15,13,11,10,13,8,0,0,8,0,11,14,15,18,0,12,0,16,7,20,11,19,19,0,12,23,27,12,14,14,13,17,14,10,4,0,24
Bacteroidaceae,5725,10770,9453,9388,10455,11846,9311,9273,7456,11306,9498,10331,11778,8172,10892,9973,10958,7035,10964,9651,8134,10057,8428,8382,10902,15241,10108,6853,9703,10164,10721,7146,10451,14460,12682,9308,8559,12397,7619,7557,10994,9924,9963,5200,7449,10460,9704,10721,9471
BICA1-8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,1,4,0,0,0,7,3,0,0,5,4,0,0,4,0,4,0,0,0,0,1,0,4,6,0,0,0,2,11
Bifidobacteriaceae,5,65,0,92,48,349,336,56,42,78,165,113,78,52,58,81,30,28,15,44,63,25,239,20,37,6,18,3,89,13,20,56,37,0,0,0,88,0,0,8,4,0,0,0,52,94,0,0,0
Bin106,6,0,0,0,0,0,0,16,4,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,7,0,5,3,7,7,8,8,4,3,6,3,0,0,0,10,5,0,5,0,0,3
Borkfalkiaceae,15,27,8,0,6,21,5,31,140,18,11,25,4,8,17,11,10,14,8,13,20,7,6,5,24,4,0,35,0,27,6,77,10,21,11,203,4,8,23,3,2,19,27,212,29,7,6,7,14
Brevibacillaceae,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderiaceae_A_593909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Burkholderiaceae_A_595401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Burkholderiaceae_A_595421,0,0,6,0,0,0,2,0,0,0,0,0,8,0,0,3,0,0,0,0,0,11,0,0,7,2,0,0,2,8,0,0,0,0,0,0,0,0,13,0,0,0,4,0,5,0,2,0,11
Burkholderiaceae_A_595427,0,0,0,2,4,0,0,0,0,0,5,4,0,3,6,4,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0
Butyricicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACZYB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-1252,8,13,90,0,38,0,4,0,27,0,0,22,13,18,161,27,0,0,6,47,3,10,4,0,5,4,3,0,7,82,119,65,69,31,23,8,0,0,0,5,0,27,0,32,0,11,0,13,0
CAG-138,105,57,92,124,48,66,21,27,118,114,34,82,75,111,71,92,49,50,129,87,68,84,48,79,108,138,135,48,51,167,88,47,118,86,50,92,61,138,90,71,65,74,67,72,40,52,106,38,147
CAG-239,22,23,9,45,30,0,9,4,0,38,10,4,2,14,73,0,0,25,6,54,37,13,15,0,21,24,5,16,19,17,50,0,32,40,25,30,83,28,0,0,5,22,18,8,3,25,6,59,15
CAG-272,63,46,117,42,59,63,57,31,77,42,74,101,99,217,41,62,39,13,55,15,32,80,55,66,92,84,79,144,30,114,73,78,110,87,85,30,13,30,79,54,52,110,33,94,48,58,48,51,73
CAG-274,0,19,5,6,0,14,4,29,8,19,7,15,0,6,0,14,23,0,19,9,5,0,0,15,0,6,15,0,11,53,20,0,11,4,27,19,12,16,10,0,12,0,7,9,8,7,7,5,13
CAG-288,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CAG-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-313,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,0,0,0,4,0,10,0,0,0,0,0,0,0,13,7,8,0,0,3,0,0,0,0,0,0,9,0,4,4,0,0,0,3
CAG-314,0,10,6,0,9,7,0,0,3,0,21,22,0,0,0,0,0,0,7,5,3,9,2,0,4,0,0,0,0,0,0,21,15,0,6,23,0,0,0,0,0,16,3,5,0,0,3,8,7
CAG-382,0,9,0,4,0,4,0,3,0,0,16,0,6,7,0,5,0,0,8,5,4,5,0,0,15,3,0,3,0,24,10,0,7,0,14,15,0,0,8,11,0,4,6,7,0,0,7,0,8
CAG-508,960,557,574,569,388,572,622,640,321,583,558,501,449,552,573,640,497,359,390,539,434,572,591,313,795,988,828,766,627,763,340,359,435,514,564,488,1006,629,526,384,540,671,572,961,349,444,603,359,1214
CAG-698,0,0,0,0,0,3,0,0,2,0,4,0,0,0,5,0,0,0,0,0,3,3,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
CAG-826,173,189,201,46,63,132,113,75,343,199,131,243,125,227,251,233,87,46,131,141,75,147,123,36,122,104,50,153,65,201,166,196,139,154,180,158,35,282,59,75,49,162,123,293,138,138,34,175,73
CAG-917,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,7,0,0,0,0,0,4,0,0,0,0,2,0,0
CAG-977,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldibacillaceae,11,0,0,0,0,0,10,14,10,8,0,0,0,13,8,0,0,0,0,6,0,5,16,0,8,11,0,11,14,0,0,0,0,0,11,0,0,15,0,0,0,8,6,0,0,8,8,0,0
Campylobacteraceae,4,7,11,4,3,6,9,7,6,5,8,0,0,0,0,3,2,7,5,6,6,14,0,8,10,3,8,3,7,4,0,4,4,6,0,8,4,0,5,5,4,3,0,0,0,9,7,0,0
Cardiobacteriaceae,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,7,0,0,0,4,0,0,0,0,0,5,0,17,0,0,0,0,4,5,3,0,0,0
CG1-02-43-26,0,0,0,8,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0
Christensenellaceae,17,17,26,32,16,20,15,10,22,6,27,6,23,14,20,21,10,12,13,23,31,26,15,24,20,25,36,25,9,30,16,10,13,17,12,11,11,16,9,14,20,22,13,25,7,5,34,8,48
Clostridiaceae_222000,0,0,0,11,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,19,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Coprobacillaceae,0,0,0,0,0,291,29,0,0,0,5,0,0,0,0,0,0,7,13,0,0,0,160,0,0,0,0,0,29,0,0,0,0,0,0,6,56,0,0,0,0,0,0,0,0,0,0,0,0
Cyclobacteriaceae,0,0,0,0,5,0,4,4,12,0,10,0,0,4,0,0,0,0,11,0,0,2,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5
Defluviitaleaceae,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Dehalobacteriaceae,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0
Desulfobulbaceae,0,0,6,0,0,0,4,9,0,5,0,5,7,3,0,4,5,0,2,6,4,8,6,0,7,7,8,0,0,0,0,0,5,0,0,0,5,7,0,5,0,0,0,3,0,0,0,0,0
Desulfovibrionaceae,35,36,42,43,27,50,50,33,46,39,29,28,36,33,10,44,38,18,26,42,23,70,61,43,76,56,76,23,33,41,15,34,47,47,38,9,28,19,43,34,35,15,20,0,47,41,38,28,44
Dethiosulfovibrionaceae,9,10,24,47,44,19,8,26,15,21,6,8,23,10,28,16,31,45,42,67,39,34,14,4,44,25,40,0,17,17,39,7,18,6,42,0,38,0,7,7,4,0,0,0,13,22,13,33,2
Devosiaceae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSM-16500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSM-19205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Eggerthellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Elusimicrobiaceae,17,3,21,22,14,10,0,5,6,29,0,0,25,18,71,16,20,20,11,34,12,13,7,12,0,13,0,13,11,28,35,14,8,8,69,20,0,13,0,13,11,0,12,15,0,7,8,51,14
Endomicrobiaceae,9,0,11,0,9,0,5,8,10,0,0,0,0,0,10,12,0,0,5,0,7,13,3,3,0,7,0,7,8,5,23,15,0,0,0,13,0,5,0,0,0,5,5,14,25,0,0,7,0
Enterobacteriaceae_A_725029,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2
Erysipelotrichaceae,153,110,106,88,62,88,77,88,88,61,116,76,43,79,51,60,35,35,48,69,77,70,65,72,84,85,92,70,75,88,29,50,56,57,62,77,75,76,106,58,66,80,91,118,86,67,80,27,93
Eubacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
F082,0,15,117,0,13,6,73,7,33,30,44,65,132,54,15,0,18,0,3,41,9,12,0,30,4,0,6,13,26,13,54,15,0,0,0,0,5,0,7,31,0,0,0,0,20,14,0,0,0
Fibrobacteraceae,134,296,308,161,213,230,221,215,274,295,259,373,296,327,262,282,113,202,262,265,268,189,225,263,394,232,472,134,185,644,263,364,303,101,220,87,302,81,231,225,152,142,112,22,116,196,182,185,119
Flavobacteriaceae,10,0,10,13,0,11,7,3,4,4,8,0,9,0,0,8,0,3,34,0,0,12,0,0,14,0,10,4,0,25,6,6,7,4,58,3,8,12,8,0,0,0,3,17,11,3,5,0,0
Fusobacteriaceae,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,2,0,0,8,0,0,0
Gastranaerophilaceae,31,69,63,93,407,0,20,275,12,247,48,39,41,79,524,33,184,402,336,422,399,37,106,37,139,132,178,36,60,147,205,0,83,15,376,108,692,123,10,64,48,70,7,16,10,78,132,478,19
Halomonadaceae_639861,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Izemoplasmataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
JAAYDE01,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae,4009,2718,2678,2535,2164,3373,3110,2449,2953,3141,2499,2395,2533,2081,2213,2306,2548,1887,2012,2342,2045,3100,2994,3187,3675,4585,2995,2365,3002,2827,1736,2003,2854,2606,2595,2137,2674,3139,3883,1955,2533,2807,2668,2848,2648,2852,2690,1847,3063
Lactobacillaceae,5,0,3,4,0,3,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,13,5,2,0,0,0
Lenti-01,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptotrichiaceae,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,584,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
Maliibacteriaceae,0,5,0,3,0,7,6,0,0,13,3,0,0,3,6,5,5,0,0,0,5,5,0,4,6,4,5,3,0,9,3,4,2,0,4,0,4,0,5,0,0,0,0,0,4,0,5,4,0
Marinifilaceae,10,0,0,0,5,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,5,2,6,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,0,7,0,0,6,3,0,5,0,0
Marinilabiliaceae,0,0,0,0,0,4,0,6,2,0,0,4,3,0,0,0,0,0,0,0,2,4,0,0,0,3,0,2,8,0,0,0,0,3,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0
Methanobacteriaceae,1159,361,241,172,191,300,296,333,686,419,246,190,245,517,263,297,173,133,137,183,319,260,289,236,199,366,350,641,392,410,202,238,178,250,257,417,219,274,220,222,328,228,300,720,357,340,254,210,292
Methanomethylophilaceae,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0
Microbacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micrococcaceae,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitochondria,32,41,8,7,18,31,62,12,52,0,12,11,12,49,44,9,14,19,25,0,11,9,18,20,23,15,26,11,15,21,0,35,19,19,110,50,24,12,13,6,14,34,29,69,11,0,15,0,18
ML635J-15,7,0,19,15,5,9,0,0,10,6,6,6,11,8,0,5,3,0,11,0,6,8,0,4,6,4,18,0,0,14,13,4,20,4,18,14,0,0,0,11,0,6,5,14,0,5,14,0,28
Moraxellaceae,0,0,0,0,38,0,5,0,0,5,0,2,0,0,0,0,16,0,0,0,13,0,0,0,0,0,0,2,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muribaculaceae,11,31,271,286,278,449,488,198,20,509,445,340,327,144,21,323,287,29,108,56,95,27,76,35,2,20,11,0,116,29,58,17,6,31,33,0,14,3,0,0,4,29,0,0,138,229,5,15,0
