"taxon","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"Absconditicoccaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acetobacteraceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acidaminococcaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acutalibacteraceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Anaerolineaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Anaeroplasmataceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Anaerovoracaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aristaeellaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atopobiaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bacillaceae_H_294103",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bacteroidaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BICA1-8",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bifidobacteriaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bin106",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Borkfalkiaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CAG-1252",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CAG-138",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CAG-239",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CAG-272",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CAG-274",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CAG-314",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CAG-382",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CAG-508",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CAG-826",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Campylobacteraceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Christensenellaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Desulfobulbaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Desulfovibrionaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dethiosulfovibrionaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Elusimicrobiaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Endomicrobiaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Erysipelotrichaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"F082",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fibrobacteraceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Flavobacteriaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Gastranaerophilaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Lachnospiraceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Lactobacillaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Methanobacteriaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mitochondria",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ML635J-15",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Muribaculaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mycoplasmoidaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Nanosyncoccaceae",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Oscillospiraceae_88309",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P3",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
