"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI","se_(Intercept)","se_RFIClass2MidRFI","se_RFIClass3HighRFI","W_(Intercept)","W_RFIClass2MidRFI","W_RFIClass3HighRFI","p_(Intercept)","p_RFIClass2MidRFI","p_RFIClass3HighRFI","q_(Intercept)","q_RFIClass2MidRFI","q_RFIClass3HighRFI","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","passed_ss_(Intercept)","passed_ss_RFIClass2MidRFI","passed_ss_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"12DICHLORETHDEG-PWY",-0.326508578417264,0.411077368330574,0.259095719213429,0.324154109302736,0.392068140042971,0.4356076705193,-1.00726342516401,1.04848450140713,0.594791452833128,0.335451706234658,0.316906456240917,0.564017361971247,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"14DICHLORBENZDEG-PWY",-0.24996598245774,0.334971921305763,0.21668495410522,0.238286114429084,0.249760820576895,0.266612924691492,-1.04901615042337,1.34117080706273,0.812732369805228,0.299651084522141,0.18644981995189,0.420558028327074,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"1CMET2-PWY",0.0052557905862082,-0.00565762639366336,-0.0114087108303022,0.0319990227432304,0.0399096536593557,0.0528243145606764,0.1642484718481,-0.141760849190859,-0.215974611789759,0.87025514350823,0.887887959892269,0.829962402878324,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ALLANTOINDEG-PWY",0.149236646143764,-0.195924653114715,-0.18855213429266,0.321297668248316,0.363706360532669,0.393395130294201,0.464480949884844,-0.538689103010934,-0.479294530544013,0.644760363994863,0.593014389251161,0.634275811702151,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ANAEROFRUCAT-PWY",-0.00122354425139536,0.0111015484396058,-0.0187994069942029,0.0297182071278433,0.0380655070732266,0.0494400091582122,-0.0411715365644992,0.291643256406639,-0.380246834786037,0.967337330213086,0.771870588023117,0.705512377253042,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ANAGLYCOLYSIS-PWY",0.00163296952228377,0.0015444770192543,-0.0120172393680239,0.0359067291609212,0.0423103426077384,0.054614084351045,0.0454780917238487,0.0365035337476048,-0.220039198877348,0.963923097045973,0.971038815339798,0.826814242683843,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ARG???SYN",-0.0369901396472213,0.0189581550481409,0.0779688056666414,0.041740290710315,0.0490170122198737,0.0606756346490911,-0.886197460960188,0.386766842562762,1.28501013821385,0.380120738138431,0.700712305879511,0.205221567352477,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ARGININE-SYN4-PWY",-0.00486587481744253,0.0216691459255446,-0.024817115550338,0.0522407212943517,0.0619089151990825,0.0689453749604665,-0.0931433314257978,0.350016566367904,-0.359953304548248,0.926194196010123,0.727923860424964,0.720529477688004,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ARGSYN-PWY",0.00524084576215969,0.00136239164798961,-0.0227704716243384,0.0335575708324792,0.0410653339915622,0.050715714016742,0.156174765698095,0.0331761979159732,-0.448982570112717,0.876578657090839,0.973677619015977,0.655552402594789,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ARGSYNBSUB-PWY",0.0018173560823661,0.00237097183257613,-0.0139249772799287,0.0277500276182144,0.0365469393082055,0.0454484947638958,0.0654902440952249,0.0648747029835083,-0.306390285360797,0.94806747164956,0.948554881599165,0.760690050707094,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
