"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI"
"12DICHLORETHDEG-PWY",-0.326508578417264,0.411077368330574,0.259095719213429
"14DICHLORBENZDEG-PWY",-0.24996598245774,0.334971921305763,0.21668495410522
"1CMET2-PWY",0.0052557905862082,-0.00565762639366336,-0.0114087108303022
"ALLANTOINDEG-PWY",0.149236646143764,-0.195924653114715,-0.18855213429266
"ANAEROFRUCAT-PWY",-0.00122354425139536,0.0111015484396058,-0.0187994069942029
"ANAGLYCOLYSIS-PWY",0.00163296952228377,0.0015444770192543,-0.0120172393680239
"ARG???SYN",-0.0369901396472213,0.0189581550481409,0.0779688056666414
"ARGININE-SYN4-PWY",-0.00486587481744253,0.0216691459255446,-0.024817115550338
"ARGSYN-PWY",0.00524084576215969,0.00136239164798961,-0.0227704716243384
"ARGSYNBSUB-PWY",0.0018173560823661,0.00237097183257613,-0.0139249772799287
"ARO-PWY",0.0110716965275344,-0.0135186299655578,-0.0164457919712859
"ASPASN-PWY",0.0498914181518875,-0.0570357717626786,-0.0646158340255447
"AST-PWY",0.148263932377072,-0.184670045298449,-0.170800926798814
"BRANCHED-CHAIN-AA-SYN-PWY",-0.00548108524734848,0.00408346487892065,0.00564369809201344
"CALVIN-PWY",0.0058375079256386,-0.00388336927653852,-0.0160733879976377
"CARNMET-PWY",-0.0844112806925098,0.558794848848243,-0.104670899906421
"CATECHOL-ORTHO-CLEAVAGE-PWY",-0.0233904899919679,0.050523514013155,-0.120831456935622
"CHLOROPHYLL-SYN",-0.288320151258604,0.328555207061108,0.344571756705431
"CITRULBIO-PWY",-0.0267264757313418,0.0685679176323816,-0.0340795292751304
"COA-PWY",0.0029125344533046,-0.00854144246492513,0.000453712192511554
"COA-PWY-1",0.00490615962489687,-0.00967474632813986,-0.00381014611776118
"COBALSYN-PWY",-0.056387264399639,0.0704136245102934,0.0537573623449248
"CODH-PWY",0.131779839569953,-0.163447103621004,-0.142480710348596
"COLANSYN-PWY",-0.0054878212119085,0.0045909776774641,0.00483961868584488
"COMPLETE-ARO-PWY",0.00372416431961412,-0.00532277555959191,-0.00726223799422596
"CRNFORCAT-PWY",-0.185234508665956,0.254882180729601,0.148590644054147
"DAPLYSINESYN-PWY",0.0299894093548374,-0.0388722848662197,-0.0331815982913288
"DARABCATK12-PWY",-0.0612518158479826,0.0806715882095038,0.0519858601442582
"DENITRIFICATION-PWY",-0.156221669104605,0.322477491052355,-0.050103556376967
"DENOVOPURINE2-PWY",-0.04555802941053,0.00643258111446535,0.124562025708998
"DTDPRHAMSYN-PWY",-0.00541337204473423,0.00591361146910254,0.00246233819996448
"ECASYN-PWY",-0.510297758713518,0.636948165452057,0.491267159749858
"FAO-PWY",-0.147521604238771,0.0706682398124197,0.332442528236309
"FERMENTATION-PWY",0.0265463046732346,-0.0384504231010332,-0.0233226155723439
"FOLSYN-PWY",0.00913784234803358,-0.0177026203072465,-0.00372437924132106
"FUC-RHAMCAT-PWY",-0.0460953462977779,0.0532477621357753,0.0501328895165657
"FUCCAT-PWY",-0.0612518158488006,0.0806715882110464,0.0519858601442582
"GALACTARDEG-PWY",-0.0376032276141551,0.0679813846091614,0.000183639528718718
"GALACTITOLCAT-PWY",-0.10848390331027,0.0409058507218411,0.261253451414967
"GLCMANNANAUT-PWY",-0.0417077004641623,0.0506902676097082,0.0408516527559767
"GLUCARDEG-PWY",-0.0149283666114131,0.0146706769578988,0.0173717776411232
"GLUCARGALACTSUPER-PWY",-0.0376032276141551,0.0679813846091614,0.000183639528718718
"GLUCONEO-PWY",0.00278641469567696,-0.00299429881580099,-0.00817415447958039
"GLUCOSE1PMETAB-PWY",0.0090027363548963,-0.00470769166642672,-0.0244273761786701
"GLUDEG-I-PWY",-0.0906762985471463,0.0760137487489092,0.149667327533914
"GLUTORN-PWY",0.00440399625767529,-0.00298738259646704,-0.0131392368696181
"GLYCOCAT-PWY",-0.808443345260251,0.887046825130298,1.05559192447885
"GLYCOGENSYNTH-PWY",0.00259564962607773,-0.000564872350007566,-0.0115377544608469
"GLYCOL-GLYOXDEG-PWY",-0.00552844916611983,-0.0824158634940264,0.146350158699291
"GLYCOLYSIS",0.00335861910580641,0.00180780834502795,-0.0177299546219477
"GLYCOLYSIS-E-D",-0.132953235235005,-0.150101745850177,0.653406395162157
"GLYOXYLATE-BYPASS",-0.193727961281797,0.234784654903293,0.205808877635987
"GOLPDLCAT-PWY",-0.180744864177803,0.175652326248829,0.263589621340433
"HEME-BIOSYNTHESIS-II",-0.0774179167624864,0.00949140062402104,0.217162349021337
"HEME-BIOSYNTHESIS-II-1",0.0236404735539679,-0.140127381205525,0.150801549150207
"HEMESYN2-PWY",0.0236404735539679,-0.140127381205525,0.150801549150207
"HEXITOLDEGSUPER-PWY",-0.0402191791067881,0.00870446965297853,0.104519977778704
"HISDEG-PWY",-7.41075842544681e-06,0.0504754873816773,-0.0865064665972939
"HISTSYN-PWY",-0.00739960865892656,0.00391937406168429,0.0117858236179805
"HOMOSER-METSYN-PWY",0.0306136954781308,-0.0654953848206588,0.00816906288204862
"HSERMETANA-PWY",0.0260479585008674,-0.00506882335549638,-0.0760415300059681
"ILEUSYN-PWY",-0.00394018168482304,0.0036631881630546,0.0016076305950625
"KDO-NAGLIPASYN-PWY",-0.287292120791084,0.129722313619434,0.66452686524137
"KETOGLUCONMET-PWY",-0.00907832475492833,0.108115202532875,-0.173554537247711
"LACTOSECAT-PWY",0.0154381226145669,-0.0158854961966491,-0.0259718142372994
"LIPASYN-PWY",-0.168591531594198,0.0146983910344043,0.487920185026579
"MET-SAM-PWY",0.0266206278283258,-0.0582746155016251,0.00866408241614832
"METH-ACETATE-PWY",0.147495089723719,-0.186370407253573,-0.153358295541578
"METHANOGENESIS-PWY",-0.00888397368409094,0.0732281693351121,-0.0962951008117723
"METHGLYUT-PWY",-0.451278555923928,0.488707190511828,0.583384897885566
"METSYN-PWY",0.0271339901680734,-0.0582719542242419,0.00708758567492385
"NAD-BIOSYNTHESIS-II",-0.317557256161614,0.204812133094227,0.635192885667081
"NADSYN-PWY",-0.157057123378779,0.0993863608310566,0.319109362926336
"NAGLIPASYN-PWY",-0.00257236554980101,-0.00761095283864611,0.0157391728093239
"NONMEVIPP-PWY",0.00795347243544105,-0.0080661559475142,-0.015756500968569
"NONOXIPENT-PWY",0.0111668274192379,-0.00624453352493504,-0.0285575370431389
"OANTIGEN-PWY",8.69186099388297e-05,0.00221836383641332,-0.00837752452685476
