"taxon","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"12DICHLORETHDEG-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14DICHLORBENZDEG-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1CMET2-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ALLANTOINDEG-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ANAEROFRUCAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ANAGLYCOLYSIS-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ARG???SYN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ARGININE-SYN4-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ARGSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ARGSYNBSUB-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ARO-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASPASN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AST-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BRANCHED-CHAIN-AA-SYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CALVIN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CARNMET-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CATECHOL-ORTHO-CLEAVAGE-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CHLOROPHYLL-SYN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CITRULBIO-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"COA-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"COA-PWY-1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"COBALSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CODH-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"COLANSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"COMPLETE-ARO-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CRNFORCAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DAPLYSINESYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DARABCATK12-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DENITRIFICATION-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DENOVOPURINE2-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DTDPRHAMSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ECASYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"FAO-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"FERMENTATION-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"FOLSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"FUC-RHAMCAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"FUCCAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GALACTARDEG-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GALACTITOLCAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLCMANNANAUT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLUCARDEG-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLUCARGALACTSUPER-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLUCONEO-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLUCOSE1PMETAB-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLUDEG-I-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLUTORN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLYCOCAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLYCOGENSYNTH-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLYCOL-GLYOXDEG-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLYCOLYSIS",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLYCOLYSIS-E-D",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GLYOXYLATE-BYPASS",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GOLPDLCAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HEME-BIOSYNTHESIS-II",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HEME-BIOSYNTHESIS-II-1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HEMESYN2-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HEXITOLDEGSUPER-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HISDEG-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HISTSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HOMOSER-METSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HSERMETANA-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ILEUSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"KDO-NAGLIPASYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"KETOGLUCONMET-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"LACTOSECAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"LIPASYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MET-SAM-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"METH-ACETATE-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"METHANOGENESIS-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"METHGLYUT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"METSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"NAD-BIOSYNTHESIS-II",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"NADSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"NAGLIPASYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"NONMEVIPP-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"NONOXIPENT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"OANTIGEN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P101-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P105-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P108-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P125-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P163-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P164-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P185-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P221-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P23-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P241-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P261-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P341-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P381-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P4-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P42-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P441-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P461-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P562-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PANTO-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PANTOSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PENTOSE-P-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PEPTIDOGLYCANSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PHOSLIPSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"POLYAMINSYN3-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"POLYAMSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"POLYISOPRENSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PPGPPMET-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-1042",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-1269",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-1622",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-1861",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-241",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-2941",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-2942",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-3001",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-3481",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-3661",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-3841",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-4702",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-4984",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
