sample-id,Plate,SampType,FeedCost,RADG,RFI,RADGClass,RFIClass,StartWt,EndWt,ADG,FatCover,DMI,Raw_FG,Adj_FG,RumenpH
Sample_140,4,Rumen,619.404,-0.78,0.54,1LowRADG,2MidRFI,697,904,2.46,0.11,17.7,7.21,7.27,6.67
Sample_165,4,Rumen,688.416,-0.59,-0.38,1LowRADG,2MidRFI,477,658,2.15,0.09,13.6,6.32,8.08,6.46
Sample_158,4,Rumen,562.32,-0.55,1.92,1LowRADG,3HighRFI,659,911,2.99,0.26,19.7,6.58,6.6,6.96
Sample_178,4,Rumen,684.156,-0.55,2.82,1LowRADG,3HighRFI,549,771,2.64,0.16,18.6,7.07,8.03,6.43
Sample_168,4,Rumen,590.436,-0.52,0.01,1LowRADG,2MidRFI,604,818,2.55,0.12,16.3,6.39,6.93,7.29
Sample_175,4,Rumen,607.476,-0.52,1.09,1LowRADG,2MidRFI,605,828,2.65,0.14,17.6,6.63,7.13,6.58
Sample_163,4,Rumen,662.856,-0.51,4.97,1LowRADG,3HighRFI,649,896,2.94,0.13,22.5,7.66,7.78,6.57
Sample_174,4,Rumen,775.32,-0.5,4.38,1LowRADG,3HighRFI,529,742,2.54,0.05,19.8,7.79,9.1,6.89
Sample_185,4,Rumen,565.728,-0.45,-2.22,1LowRADG,1LowRFI,510,702,2.28,0.09,12.4,5.45,6.64,6.72
Sample_177,4,Rumen,599.808,-0.45,-0.08,1LowRADG,2MidRFI,551,763,2.52,0.12,15.5,6.15,7.04,6.44
Sample_143,4,Rumen,466.896,-0.44,-0.89,1LowRADG,2MidRFI,765,1021,3.05,0.2,18.2,5.96,5.48,6.63
Sample_154,4,Rumen,564.024,-0.38,0.68,1LowRADG,2MidRFI,646,880,2.78,0.09,17.9,6.44,6.62,6.73
Sample_144,4,Rumen,551.244,-0.36,1.57,1LowRADG,3HighRFI,647,900,3.01,0.18,19.3,6.39,6.47,6.74
Sample_172,4,Rumen,545.28,-0.33,1.58,2MidRADG,3HighRFI,676,930,3.02,0.14,19.6,6.49,6.4,6.63
Sample_162,4,Rumen,564.876,-0.31,1.48,2MidRADG,3HighRFI,618,865,2.93,0.14,18.7,6.37,6.63,7.45
Sample_164,4,Rumen,523.98,-0.25,-0.02,2MidRADG,2MidRFI,645,888,2.89,0.1,17.4,6.02,6.15,7.16
Sample_170,4,Rumen,621.108,-0.21,3.44,2MidRADG,3HighRFI,563,816,3.01,0.12,20.1,6.7,7.29,6.8
Sample_184,4,Rumen,748.908,-0.19,4.26,2MidRADG,3HighRFI,425,655,2.73,0.09,18.7,6.85,8.79,7.02
Sample_169,4,Rumen,523.128,-0.17,-0.26,2MidRADG,2MidRFI,569,813,2.9,0.14,16.3,5.62,6.14,6.78
Sample_183,4,Rumen,449.004,-0.09,-3.24,2MidRADG,1LowRFI,555,784,2.73,0.1,12.8,4.7,5.27,6.88
Sample_182,4,Rumen,481.38,-0.07,-1.09,2MidRADG,2MidRFI,592,843,2.99,0.13,15.9,5.33,5.65,6.59
Sample_149,4,Rumen,477.12,-0.07,0.27,2MidRADG,2MidRFI,677,950,3.25,0.14,18.8,5.77,5.6,6.42
Sample_136,4,Rumen,445.596,-0.06,-2.53,2MidRADG,1LowRFI,572,818,2.93,0.15,14.1,4.82,5.23,6.94
Sample_160,4,Rumen,478.824,-0.06,-0.41,2MidRADG,2MidRFI,644,906,3.13,0.12,17.5,5.59,5.62,7
Sample_150,4,Rumen,510.348,-0.06,2.79,2MidRADG,3HighRFI,685,975,3.46,0.17,21.8,6.3,5.99,6.65
