pathway,Sample_134,Sample_135,Sample_136,Sample_137,Sample_138,Sample_139,Sample_140,Sample_141,Sample_142,Sample_143,Sample_144,Sample_147,Sample_148,Sample_149,Sample_150,Sample_151,Sample_152,Sample_153,Sample_154,Sample_155,Sample_158,Sample_159,Sample_160,Sample_161,Sample_162,Sample_163,Sample_164,Sample_165,Sample_166,Sample_167,Sample_168,Sample_169,Sample_170,Sample_171,Sample_172,Sample_173,Sample_174,Sample_175,Sample_176,Sample_177,Sample_178,Sample_179,Sample_180,Sample_181,Sample_182,Sample_183,Sample_184,Sample_185,Sample_186
12DICHLORETHDEG-PWY,0,0,1.5339049103663291,0,0,0,0,8.111292962356792,6.331595411887383,0,0,0,19.564766839378237,0,0,0,0,0,0,7.513957307060756,0,3.9714964370546317,8,0,2.5239436619718307,6.825962910128387,0,0,9.079365079365079,0,0,0,0,0,0,0,0,0,1.7370325693606756,0,0,0,0,0,5.627313862607981,7.376770538243627,0,0,3.388235294117647
14DICHLORBENZDEG-PWY,102.87845156707803,95.84707472485034,73.40611597513005,112.07519555239512,90.80495356037152,127.02975856260528,109.44568632500645,98.61869988643794,78.71303046179177,37.78385619,81.11119573011563,66.43208062145706,130.6604281984334,84.53181933734429,73.66772237196766,71.65170683440525,54.89272074991321,56.550607287449395,57.91868967534366,57.574471243042666,98.99241466498104,84.86471975331035,84.66310838661947,68.62196908,115.69757444291068,83.58913005873197,91.16550258,43.302845797485105,85.03852825810729,32.219498695342764,48.75330396475772,79.08736985061114,67.62126696832578,86.79688971635089,63.25064288,16.083456425406204,46.82794073178107,36.57363224532465,116.69832879906721,56.19273837801154,61.61258614688479,34.78438212800215,49.37651642,18.21551874,102.37422799679631,105.13048612477859,52.72477699653689,40.12147661037214,28.937423312883432
1CMET2-PWY,20171.995500290544,22495.100793855603,21151.812540787152,18680.124911830273,21520.747043738484,21901.79459270949,18473.258294425123,17173.57776035637,21278.12153069813,21821.605269249467,21395.05022098861,21674.56294830717,21654.658599216662,18263.817008652048,21601.804633798303,20229.744026214234,19037.833440504288,14759.450421325553,19961.70329823126,21293.66678979447,17645.087103468413,23140.73079872472,19762.898349454492,18324.19373919375,25160.755838173674,27695.07460461021,23149.73896456996,17311.493861712534,18893.28305436447,24059.32507695528,17239.535342650124,16164.75107693306,22469.90836774428,24796.258289503854,22764.273052586184,18758.15265849902,18847.775374422003,19732.734226653272,18505.45686385933,16356.918914618866,19122.081051688852,20278.35212700498,19107.325695488948,17947.68140437118,17196.349390356383,20812.375958768473,20430.186183994043,18545.774978339414,25034.588013557113
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0,0,0,2.7868065784926896,0,0,0,4.2438643961746365,6.3294667686697075,0,0,0,3.5245038899074315,0.9483727160023896,0,0,2.9855273764189794,0.9398492507252483,0,0,17.583145862497922,0,0.3180680202499677,0,0.7805416068175145,26.29362492444253,0,0,2.278673369856289,0,0,0,2.7474765171487334,0,0,0,0,2.5516824755331298,3.410580364450952,0,5.369783488087857,0.7768845585380425,0,0,0,0.9455417064570374,0,0,6.535772205763597
AEROBACTINSYN-PWY,0,0,0,0,0,0,0.9369029633933759,0,0,3,0,0.38268465909090904,0,0,0,0,0,0,0,0,0.3832333129210042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLANTOINDEG-PWY,26.89396487884407,0,32.516669841874645,21.135337744998207,19.269575599858047,19.338081030647423,18.18787790398102,17.506702097363902,39.63636424126384,9.817766558005323,55.96723156013088,14.718439691026306,30.299581175937032,15.520077297204637,17.075937210566067,5.942490459692277,0,0,26.425956096288743,28.179161676646707,25.861279917852908,32.628242074927954,7.904752949604854,13.689250391263563,68.88952336166068,21.50733431143555,13.780363002786427,79.09612930667801,21.10555589923252,7.905125944,31.597543762641333,44.013752578608496,21.399365778380574,9.880470259472322,1.991138409772405,7.8965409889860245,35.503318856272976,3.9714104227826184,66.59376237501662,0,33.21172397,0,24.749147256363344,55.16761621597216,43.32043966629891,28.605121776279343,36.09142034548163,3.9462843426643746,55.12675612972671
ANAEROFRUCAT-PWY,13846.717167009709,13177.691120728892,12237.99753040854,11219.84438094401,12061.310943165669,12304.223178673192,11243.626712962921,10018.706598921388,13743.520880583643,12100.622432664042,13117.546777341302,12128.453114673663,12129.045980261593,11174.309630182448,13412.965303764198,11448.251131398843,9849.496597937276,9545.510984,10760.790927115651,12412.182810460909,10774.217911287496,14192.565669002974,12350.072769063667,11223.087940857642,15674.184006035504,14859.80172566937,13774.393286033062,9616.538379394531,10477.44088224605,14853.150401351557,10191.243278067874,9606.485932880587,12660.213099856428,11200.54116170707,11695.680300889759,9276.329503,11528.374471745103,10139.516544525832,12249.42995800361,8538.804316607853,9840.490099872697,10822.912811839169,10641.404106785467,10192.798275218933,9653.648059532485,11816.171956209673,11386.89581850639,10990.06993,13674.234135260589
ANAGLYCOLYSIS-PWY,18693.15115535917,19303.855569522108,18226.12756875153,16024.786160433403,18510.430209010574,17686.340054257846,15533.794862771168,14385.266296585085,19456.697734306315,17558.702444416438,19172.019161717293,19055.438113184493,17786.657919985166,16363.393582463077,20921.152081145283,16847.826174460788,14571.890687077721,13840.135818289278,16279.995008919406,20319.841301489014,16428.090581201155,20208.385747831748,17221.233669099387,15549.103729651039,22245.978092056437,21354.17822411667,19775.74537144673,13717.69880721144,14972.761175087076,21943.347423395135,15380.979417608754,14412.9204,18485.827152892976,16694.858673470328,17407.331049009677,13784.541920862457,16437.80856757347,14336.866063925123,16572.25935697784,12779.277617345515,14521.960837056165,15727.729802474034,15220.883626978735,13944.648964188065,13699.574386866825,16615.086786847347,16634.42363830677,16225.946478693366,19350.652882400693
ARG???SYN,3095.897289604278,2595.158650261098,2705.2429734688685,2829.2093409525037,3320.777489119282,2854.1159234319957,2677.909341461286,2806.0592369424776,3192.9971451160445,3081.096177,2837.2553591672468,2729.361457118664,3157.436953820884,2739.0325346300297,3586.483056,2488.0811708756564,2175.459710653664,2184.100474902755,2474.1038570605588,3268.254288,3158.716170767585,2871.8628223034275,2712.981356844111,2287.9329540746116,3662.7692400250635,3416.78488,3504.715729212337,2307.134700525337,2387.7447540548296,3107.521056517344,2242.1201096416708,2051.717000374802,3203.3805572950596,2640.3894952205114,3488.3945695224047,2889.6215022539923,3329.283280888362,2694.5906409333766,3014.4933949207684,1890.7849106296858,2514.964924,2193.1568840474865,1924.9316282581424,2288.203355291234,2242.2872403491006,2373.9226037517383,2250.6578713345048,2308.7495552557425,3292.097728057351
ARGDEG-PWY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.008953285683624,0,0,2.619275913,0,0,0,0,0,0,0,0,1.32850881,0,0,0,0,0,0,0,0,0,0,6.9666350787519935
